page,date,description_raw,amount,balance,balance_ok,description_clean,statement_id,bank
1,2026-04-02,POS PURCHASE AMPATH LAB 9981*7995,-509.93,30268.83,True,ampath lab,STMT001,protea
1,2026-04-02,DEBIT ORDER MONTESSORI PRE SCHOOL TUITION MENLYN 1161*7098 02 APR,-7257.74,23011.09,True,montessori pre school tuition menlyn,STMT001,protea
1,2026-04-03,CARD PURCHASE FOOD LOVERS MARKET CIRCLEVILLE,-861.23,22149.86,True,food lovers market circleville,STMT001,protea
1,2026-04-03,POS PURCHASE ARBYS HOLLYWOOD CAPE TOWN 7816*4741 03 APR,-151.59,21998.27,True,arbys hollywood cape town,STMT001,protea
1,2026-04-04,CARD PURCHASE DEBONAIRS PIZZA JOHANNESBURG WIUS 7493*3753,-186.4,21811.87,True,debonairs pizza johannesburg wius,STMT001,protea
1,2026-04-04,POS PURCHASE CELL RATES TAXES CAPE TOWN 1199*7947,-402.72,21409.15,True,cell rates taxes cape town,STMT001,protea
1,2026-04-04,POS PURCHASE SHELL HATFIELD,-648.47,20760.68,True,shell hatfield,STMT001,protea
1,2026-04-05,ACI POWER LIG,-2048.72,18711.96,True,aci power lig,STMT001,protea
1,2026-04-05,SEATTLE COFFEE ROSEBANK 5203*8043 05 APR,-177.69,18534.27,True,seattle coffee rosebank,STMT001,protea
1,2026-04-06,POS PURCHASE DAIRY QUEEN BONHAM 3699*9325,-111.05,18423.22,True,dairy queen bonham,STMT001,protea
1,2026-04-06,CR,-215.24,18207.98,True,cr,STMT001,protea
1,2026-04-06,CARD PURCHASE CHICKEN LICKEN SAN DIEGO 6944*2300 06 APR,-74.69,18133.29,True,chicken licken san diego,STMT001,protea
1,2026-04-07,EFT PAYMENT FSI CITY POWER LOCAL 5797*1404,-482.26,17651.03,True,fsi city power local,STMT001,protea
1,2026-04-07,POS PURCHASE SHOPRITE MEMBERS COM,-326.8,17324.23,True,shoprite members com,STMT001,protea
1,2026-04-07,DEBIT ORDER DELTA GAS BERGENFIELD 07 APR,-89.7,17234.53,True,delta gas bergenfield,STMT001,protea
1,2026-04-08,POS PURCHASE SPAR SUPER CENT PASCO MENLYN,-63.96,17170.57,True,spar super cent pasco menlyn,STMT001,protea
1,2026-04-08,POS PURCHASE ATM FEE,-96.96,17073.61,True,atm fee,STMT001,protea
1,2026-04-09,CARD PURCHASE SPOTIFY 4970*9439,-125.66,16947.95,True,spotify,STMT001,protea
1,2026-04-10,POS PURCHASE MONTHLY MAINTENANCE FEE BLOEMFONTEIN 10 APR,-117.06,16830.89,True,monthly maintenance fee bloemfontein,STMT001,protea
1,2026-04-10,POS PURCHASE DRESS RIVERSIDE 6993*7049 10 APR,-575.55,16255.34,True,dress riverside,STMT001,protea
1,2026-04-11,POS PURCHASE BP MOKENA SANDTON 7943*7500,-1715.89,14539.45,True,bp mokena sandton,STMT001,protea
1,2026-04-11,FAMILY 9148*4333,-1363.24,13176.21,True,family,STMT001,protea
1,2026-04-13,CARD PURCHASE SHELL 13 APR,-832.24,12343.97,True,shell,STMT001,protea
1,2026-04-14,CARD PURCHASE SPUR SAN DIEGO 14 APR,-52.06,12291.91,True,spur san diego,STMT001,protea
1,2026-04-15,POS PURCHASE DEBONAIRS PIZZA 3777*6645,-41.5,12250.41,True,debonairs pizza,STMT001,protea
1,2026-04-15,POS PURCHASE ASTRON ENERGY 2495*4428,-807.42,11442.99,True,astron energy,STMT001,protea
1,2026-04-15,POS PURCHASE WOOLWORTHS COM JOHANNESBURG,-349.7,11093.29,True,woolworths com johannesburg,STMT001,protea
1,2026-04-16,POS PURCHASE WOOLWORTHS FOOD COM 3209*2030,-742.95,10350.34,True,woolworths food com,STMT001,protea
1,2026-04-17,CARD PURCHASE DBT CRD ROMANS PIZZA BRISTOL SANDTON 9583*3983,-108.62,10241.72,True,dbt crd romans pizza bristol sandton,STMT001,protea
1,2026-04-17,POS PURCHASE NORTHSIDE MARKET DURBAN 2446*8493,-494.54,9747.18,True,northside market durban,STMT001,protea
1,2026-04-17,CARD PURCHASE CHECKERS SOWETO 1829*5990 17 APR,-344.38,9402.8,True,checkers soweto,STMT001,protea
1,2026-04-17,POS PURCHASE STEERS COLLEGE PARK DATE PRETORIA,-177.79,9225.01,True,steers college park date pretoria,STMT001,protea
1,2026-04-17,POS PURCHASE SHOPRITE AUBURN,-1183.61,8041.4,True,shoprite auburn,STMT001,protea
1,2026-04-21,RD STREET MINI MART BETHLEHEM PADATE HATFIELD 4274*5200 21 APR,-187.62,7853.78,True,rd street mini mart bethlehem padate hatfield,STMT001,protea
2,2026-04-21,POS PURCHASE ASTRON ENERGY AMPM BANNING 9636*1788 21 APR,-806.33,7047.45,True,astron energy ampm banning,STMT001,protea
2,2026-04-22,DEB CITY MARKET RAILROAD AVE RIFLE 8556*5053,-1087.93,5959.52,True,deb city market railroad ave rifle,STMT001,protea
2,2026-04-22,CARD PURCHASE GEORGE WASHINGTON WINCHESTER,-124.96,5834.56,True,george washington winchester,STMT001,protea
2,2026-04-22,POS PURCHASE ASTRON ENERGY WINTER SPRING 22 APR,-398.68,5435.88,True,astron energy winter spring,STMT001,protea
2,2026-04-23,NANDOS,-117.2,5318.68,True,nandos,STMT001,protea
2,2026-04-24,CARD PURCHASE MOZARTS COFFEE ROA AUSTIN 1713*1867,-501.36,4817.32,True,mozarts coffee roa austin,STMT001,protea
2,2026-04-24,POS PURCHASE PIQUA FRIENDLY GROCER 7177*5280 24 APR,-236.03,4581.29,True,piqua friendly grocer,STMT001,protea
2,2026-04-25,POS PURCHASE SPROUTS FARMER SPROUTS FARMERS OAKLAND ROSEBANK 8170*8081,-1098.1,3483.19,True,sprouts farmer sprouts farmers oakland rosebank,STMT001,protea
2,2026-04-25,POS PURCHASE ASTRON ENERGY QPS ROSEBANK 9257*3642,-1112.92,2370.27,True,astron energy qps rosebank,STMT001,protea
2,2026-04-25,SALARY SUNVELD ENGINEERING,28200.0,30570.27,True,salary sunveld engineering,STMT001,protea
2,2026-04-26,CARD PURCHASE CHECKERS ROSEBANK 3155*7141 26 APR,-207.53,30362.74,True,checkers rosebank,STMT001,protea
2,2026-04-26,GROVE MARKET PERSEVERANCE AUSTIN,-115.51,30247.23,True,grove market perseverance austin,STMT001,protea
2,2026-04-29,POS PURCHASE ESKOM AIRTIME JOHANNESBURG 1608*8479 29 APR,-247.97,29999.26,True,eskom airtime johannesburg,STMT001,protea
2,2026-04-30,POS PURCHASE ASTRON ENERGY ACWORTH 9932*8679 30 APR,-403.07,29596.19,True,astron energy acworth,STMT001,protea
2,2026-04-30,MONTHLY ACCOUNT FEE,-69.0,29527.19,True,monthly account fee,STMT001,protea
1,2026-09-01,MAGTAPE DEBIT SCHOOL FEES DEPT EDUC STUDENT FEES RANDBURG 01 SEP,-2103.22,15386.87,True,school fees dept educ student fees randburg,STMT002,karoo
1,2026-09-04,DEBIT ORDER AMPATH LAB CENTURION 9650*2329,-263.88,15122.99,True,ampath lab centurion,STMT002,karoo
1,2026-09-04,INTERNET PMT TO CITY TSHWANE ELECTRICITY 9293*7968,-844.82,14278.17,True,city tshwane electricity,STMT002,karoo
1,2026-09-05,CARD PURCHASE BOJANGLES HOPE MILLS 4043*4307,-261.19,14016.98,True,bojangles hope mills,STMT002,karoo
1,2026-09-06,TRADER JOE TRADE LOS ES 9309*2294,-366.66,13650.32,True,trader joe trade los es,STMT002,karoo
1,2026-09-06,DEBIT ORDER AMPATH LAB CONSULTATION,-235.38,13414.94,True,ampath lab consultation,STMT002,karoo
